,rank,page,each_page_rank,keword,PC_search,Mobile_search,productId,title,lowPrice,highPrice,mallName,productGroup,productType,brand,maker,category1,category2,category3,category4,image
38,38,1,39,초파리싹,240,930,24474172404,배송 무료-홈키파 초파리싹 290ml/헨켈/스,12880,0,11번가,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2447417/24474172404.jpg
39,39,1,40,초파리싹,240,930,82165456569,홈키파초파리싹 초파리 없애는법 잡는법 스프레이,8800,0,제일몰,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8216545/82165456569.2.jpg
40,40,2,1,초파리싹,240,930,24346386729,승일 홈키파 초파리싹 내츄럴290ml 날파리 파리약 날파리약,64120,0,G마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2434638/24346386729.jpg
41,41,2,2,초파리싹,240,930,82660747953,날파리 퇴치법 초파리 싹 트랩 박멸 화장실 나방 끈끈이 하수구 주방 배수구 제거제,2490,0,엘엔제이주식회사,일반상품,가격비교 비매칭 일반상품,리빙굿,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8266074/82660747953.jpg
42,42,2,3,초파리싹,240,930,82656656611,초파리싹 없애는 트랩,2000,0,전담아,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8265665/82656656611.jpg
43,43,2,4,초파리싹,240,930,82638534753,초파리트랩 초파리싹 초파리 퇴치법 날파리 없애는법 만들기 퇴치기 화장실 하수구 싱크대,4490,0,진스브로,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8263853/82638534753.jpg
44,44,2,5,초파리싹,240,930,23965121833,홈키파 초파리싹 290ml,8140,0,11번가,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2396512/23965121833.jpg
45,45,2,6,초파리싹,240,930,82626626954,유한양행 초파리 싹 제거 스프레이 끈끈이 트랩 없이 화장실 하수구 쓰레기통 날파리 퇴치,7490,0,해로,일반상품,가격비교 비매칭 일반상품,해피홈,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8262662/82626626954.jpg
46,46,2,7,초파리싹,240,930,82563811945,천연 벌레퇴치제 날파리 홈키파 초파리싹,7900,0,Door shop,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8256381/82563811945.2.jpg
47,47,2,8,초파리싹,240,930,24564895463,홈키파 초파리싹 박멸체 290ml,12680,0,롯데ON,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2456489/24564895463.jpg
48,48,2,9,초파리싹,240,930,24561168781,홈키파 초파리싹 내츄럴290ml 날파리 파리약 날파리약 하이커,14000,0,티몬,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2456116/24561168781.jpg
49,49,2,10,초파리싹,240,930,24560128484,홈키파 초파리싹 제거체 290ml 하이커,11940,0,티몬,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2456012/24560128484.jpg
50,50,2,11,초파리싹,240,930,24550759736,홈키파 초파리싹 박멸체 290ml,12680,0,롯데ON,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2455075/24550759736.jpg
51,51,2,12,초파리싹,240,930,24548942748,홈키파 초파리싹 박멸체 290ml,12680,0,롯데ON,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2454894/24548942748.jpg
52,52,2,13,초파리싹,240,930,82515246258,홈키파 집 초파리약 초파리싹 벌레퇴치제 트랩 살충제,7880,0,늘봄가게,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8251524/82515246258.4.jpg
53,53,2,14,초파리싹,240,930,24535777967,홈키파 초파리싹 박멸체 290ml,12680,0,롯데ON,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2453577/24535777967.jpg
54,54,2,15,초파리싹,240,930,24532264110,홈키파 초파리싹 박멸체 290ml,12680,0,롯데ON,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2453226/24532264110.jpg
55,55,2,16,초파리싹,240,930,82512196081,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,6610,0,올샵몰,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8251219/82512196081.1.jpg
56,56,2,17,초파리싹,240,930,82113846213,홈키파 초파리싹 290ml/ 해피홈 초파리제로,7300,0,해빛스토어,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8211384/82113846213.2.jpg
57,57,2,18,초파리싹,240,930,82551659511,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,7150,0,제이 앨리스,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8255165/82551659511.1.jpg
58,58,2,19,초파리싹,240,930,82165531884,홈키파 초파리싹 천연 벌레 퇴치 기피 제 초파리 날파리 스프레이 290ml,9600,0,24365마켓,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8216553/82165531884.2.jpg
59,59,2,20,초파리싹,240,930,24521266773,헨켈 홈키파 초파리싹 내츄럴290ml/천연국화 제충국성,12130,0,인터파크,일반상품,가격비교 비매칭 일반상품,,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2452126/24521266773.jpg
60,60,2,21,초파리싹,240,930,24520421559,홈키파 초파리싹 내츄럴,14500,0,쿠팡,일반상품,가격비교 비매칭 일반상품,헨켈,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2452042/24520421559.jpg
61,61,2,22,초파리싹,240,930,82715667701,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,6730,0,라원컴퍼니,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8271566/82715667701.1.jpg
62,62,2,23,초파리싹,240,930,82529263490,헨켈 홈키파 초파리싹 내츄럴290ml/천연국화 제충국성분,12900,0,toyrod,일반상품,가격비교 비매칭 일반상품,홈키파,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8252926/82529263490.1.jpg
63,63,2,24,초파리싹,240,930,82715684294,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,7250,0,초이셀링코리아,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8271568/82715684294.jpg
64,64,2,25,초파리싹,240,930,82479985056,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,7200,0,주아유통,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8247998/82479985056.1.jpg
65,65,2,26,초파리싹,240,930,24512230625,홈키파 초파리싹 박멸체 290ml,12680,0,롯데ON,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2451223/24512230625.jpg
66,66,2,27,초파리싹,240,930,24511571679,홈키파 초파리싹 박멸체 290ml,12680,0,롯데ON,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2451157/24511571679.jpg
67,67,2,28,초파리싹,240,930,24499347243,홈키파 초파리싹 박멸체 290ml,12680,0,롯데ON,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2449934/24499347243.jpg
68,68,2,29,초파리싹,240,930,82711261927,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,7560,0,깡그리,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8271126/82711261927.jpg
