,rank,page,each_page_rank,keword,PC_search,Mobile_search,productId,title,lowPrice,highPrice,mallName,productGroup,productType,brand,maker,category1,category2,category3,category4,image
55,55,2,16,초파리퇴치법,1650,13900,82650532465,날파리 초파리 퇴치법 트랩 해충 퇴치기 캠핑 야외활동 USB 건전지식,24900,0,심플베이직 시미직,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8265053/82650532465.jpg
56,56,2,17,초파리퇴치법,1650,13900,82650534691,날파리 초파리 퇴치법 모기불 해충 트랩 퇴치기 캠핑 야외활동,12900,0,심플베이직 시미직,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8265053/82650534691.jpg
57,57,2,18,초파리퇴치법,1650,13900,82637520203,해피홈 초파리제로 초파리퇴치법 날파리퇴치법 진드기퇴치제,5980,0,고래상어마켓,일반상품,가격비교 비매칭 일반상품,유한양행,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8263752/82637520203.jpg
58,58,2,19,초파리퇴치법,1650,13900,82622549452,유한양행 여름철 음식쓰레기 초파리퇴치법 초파리제로 스프레이,8450,0,아기띠유아킥보드 복단지샵,일반상품,가격비교 비매칭 일반상품,,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8262254/82622549452.jpg
59,59,2,20,초파리퇴치법,1650,13900,82621873945,퓨리어 아웃도어가드프로 천연모기퇴치제 아기모기기피제 빈대 옴진드기 먼지다듬이 초파리퇴치법,4200,0,위플로우,일반상품,가격비교 비매칭 일반상품,퓨리어,지투지,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8262187/82621873945.jpg
60,60,2,21,초파리퇴치법,1650,13900,82621887011,퓨리어 이카리딘 모기기피제 아기모기퇴치제 빈대 옴진드기 먼지다듬이 초파리퇴치법 벌레퇴치,8000,0,위플로우,일반상품,가격비교 비매칭 일반상품,퓨리어,지투지,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8262188/82621887011.1.jpg
61,61,2,22,초파리퇴치법,1650,13900,82605408400,초 파리 퇴치법 날파리 좀벌레 트랩 나방,17500,0,Buenos Dias,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8260540/82605408400.jpg
62,62,2,23,초파리퇴치법,1650,13900,82595949933,잔류성 초파리퇴치법 날파리 살충제 가정용 야생진드기퇴치제 290ml,10990,0,잡화투데이,일반상품,가격비교 비매칭 일반상품,유한양행,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8259594/82595949933.jpg
63,63,2,24,초파리퇴치법,1650,13900,82534168964,가정용 화장실 음식물쓰레기 초파리퇴치법 날파리 진드기 천연 벌레 스프레이 제거제 퇴치제,6900,0,세모판다,일반상품,가격비교 비매칭 일반상품,유한양행,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8253416/82534168964.jpg
64,64,2,25,초파리퇴치법,1650,13900,21615725550,일양약품 초파리트랩 천연초파리트랩 초파리퇴치법 초,4830,0,11번가,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2161572/21615725550.1.jpg
